"comment","status","pid","rc","command","group","user","host","pwd","inputfile","outputfile","errorfile","exception"
"TASK_1_1_10.20.48.1","FINISHED","","512","ping -c 1 -t 1 10.20.48.1","1","","","","","","",""
"TASK_1_2_10.20.48.2","FINISHED","","512","ping -c 1 -t 1 10.20.48.2","1","","","","","","",""
"TASK_1_3_10.20.48.3","FINISHED","","512","ping -c 1 -t 1 10.20.48.3","1","","","","","","",""
"TASK_1_4_10.20.48.4","FINISHED","","512","ping -c 1 -t 1 10.20.48.4","1","","","","","","",""
"TASK_1_5_10.20.48.5","FINISHED","","512","ping -c 1 -t 1 10.20.48.5","1","","","","","","",""
"TASK_1_6_10.20.48.6","FINISHED","","512","ping -c 1 -t 1 10.20.48.6","1","","","","","","",""
"TASK_1_7_10.20.48.7","FINISHED","","512","ping -c 1 -t 1 10.20.48.7","1","","","","","","",""
"TASK_1_8_10.20.48.8","FINISHED","","512","ping -c 1 -t 1 10.20.48.8","1","","","","","","",""
"TASK_1_9_10.20.48.9","FINISHED","","512","ping -c 1 -t 1 10.20.48.9","1","","","","","","",""
"TASK_1_10_10.20.48.10","FINISHED","","512","ping -c 1 -t 1 10.20.48.10","1","","","","","","",""
"TASK_1_11_10.20.48.11","FINISHED","","0","ping -c 1 -t 1 10.20.48.11","1","","","","","","",""
"TASK_1_12_10.20.48.12","FINISHED","","512","ping -c 1 -t 1 10.20.48.12","1","","","","","","",""
"TASK_1_13_10.20.48.13","FINISHED","","0","ping -c 1 -t 1 10.20.48.13","1","","","","","","",""
"TASK_1_14_10.20.48.14","FINISHED","","512","ping -c 1 -t 1 10.20.48.14","1","","","","","","",""
"TASK_1_15_10.20.48.15","FINISHED","","512","ping -c 1 -t 1 10.20.48.15","1","","","","","","",""
"TASK_1_16_10.20.48.16","FINISHED","","512","ping -c 1 -t 1 10.20.48.16","1","","","","","","",""
"TASK_1_17_10.20.48.17","FINISHED","","512","ping -c 1 -t 1 10.20.48.17","1","","","","","","",""
"TASK_1_18_10.20.48.18","FINISHED","","512","ping -c 1 -t 1 10.20.48.18","1","","","","","","",""
"TASK_1_19_10.20.48.19","FINISHED","","512","ping -c 1 -t 1 10.20.48.19","1","","","","","","",""
"TASK_1_20_10.20.48.20","FINISHED","","512","ping -c 1 -t 1 10.20.48.20","1","","","","","","",""
"TASK_1_21_10.20.48.21","FINISHED","","0","ping -c 1 -t 1 10.20.48.21","1","","","","","","",""
"TASK_1_22_10.20.48.22","FINISHED","","0","ping -c 1 -t 1 10.20.48.22","1","","","","","","",""
"TASK_1_23_10.20.48.23","FINISHED","","512","ping -c 1 -t 1 10.20.48.23","1","","","","","","",""
"TASK_1_24_10.20.48.24","FINISHED","","512","ping -c 1 -t 1 10.20.48.24","1","","","","","","",""
"TASK_1_25_10.20.48.25","FINISHED","","512","ping -c 1 -t 1 10.20.48.25","1","","","","","","",""
"TASK_1_26_10.20.48.26","FINISHED","","512","ping -c 1 -t 1 10.20.48.26","1","","","","","","",""
"TASK_1_27_10.20.48.27","FINISHED","","512","ping -c 1 -t 1 10.20.48.27","1","","","","","","",""
"TASK_1_28_10.20.48.28","FINISHED","","512","ping -c 1 -t 1 10.20.48.28","1","","","","","","",""
"TASK_1_29_10.20.48.29","FINISHED","","512","ping -c 1 -t 1 10.20.48.29","1","","","","","","",""
"TASK_1_30_10.20.48.30","FINISHED","","512","ping -c 1 -t 1 10.20.48.30","1","","","","","","",""
"TASK_1_31_10.20.48.31","FINISHED","","512","ping -c 1 -t 1 10.20.48.31","1","","","","","","",""
"TASK_1_32_10.20.48.32","FINISHED","","512","ping -c 1 -t 1 10.20.48.32","1","","","","","","",""
"TASK_1_33_10.20.48.33","FINISHED","","512","ping -c 1 -t 1 10.20.48.33","1","","","","","","",""
"TASK_1_34_10.20.48.34","FINISHED","","512","ping -c 1 -t 1 10.20.48.34","1","","","","","","",""
"TASK_1_35_10.20.48.35","FINISHED","","512","ping -c 1 -t 1 10.20.48.35","1","","","","","","",""
"TASK_1_36_10.20.48.36","FINISHED","","512","ping -c 1 -t 1 10.20.48.36","1","","","","","","",""
"TASK_1_37_10.20.48.37","FINISHED","","512","ping -c 1 -t 1 10.20.48.37","1","","","","","","",""
"TASK_1_38_10.20.48.38","FINISHED","","512","ping -c 1 -t 1 10.20.48.38","1","","","","","","",""
"TASK_1_39_10.20.48.39","FINISHED","","512","ping -c 1 -t 1 10.20.48.39","1","","","","","","",""
"TASK_1_40_10.20.48.40","FINISHED","","512","ping -c 1 -t 1 10.20.48.40","1","","","","","","",""
"TASK_1_41_10.20.48.41","FINISHED","","512","ping -c 1 -t 1 10.20.48.41","1","","","","","","",""
"TASK_1_42_10.20.48.42","FINISHED","","512","ping -c 1 -t 1 10.20.48.42","1","","","","","","",""
"TASK_1_43_10.20.48.43","FINISHED","","512","ping -c 1 -t 1 10.20.48.43","1","","","","","","",""
"TASK_1_44_10.20.48.44","FINISHED","","512","ping -c 1 -t 1 10.20.48.44","1","","","","","","",""
"TASK_1_45_10.20.48.45","FINISHED","","512","ping -c 1 -t 1 10.20.48.45","1","","","","","","",""
"TASK_1_46_10.20.48.46","FINISHED","","512","ping -c 1 -t 1 10.20.48.46","1","","","","","","",""
"TASK_1_47_10.20.48.47","FINISHED","","512","ping -c 1 -t 1 10.20.48.47","1","","","","","","",""
"TASK_1_48_10.20.48.48","FINISHED","","512","ping -c 1 -t 1 10.20.48.48","1","","","","","","",""
"TASK_1_49_10.20.48.49","FINISHED","","512","ping -c 1 -t 1 10.20.48.49","1","","","","","","",""
"TASK_1_50_10.20.48.50","FINISHED","","512","ping -c 1 -t 1 10.20.48.50","1","","","","","","",""
